Name,Project,Int_Material,Ext_Material
Dark Cherry,Smith Residence,White Melamine,Select Cherry
Light Cherry,Smith Residence,White Melamine,Select Cherry
White,Smith Residence,White Melamine,PG Maple
Light Gray,Davidson Residence,Maple Melamine,PG Maple
Dark Gray,Davidson Residence,Maple Melamine,PG Maple
Walnut,Davidson Residence,Maple Melamine,Select Walnut
Maple,Anderson Residence,Prefinished Maple,Select Maple
Red,Anderson Residence,Prefinished Maple,PG Maple
Alder Natural,Roberts Residence,White Melamine,Select Alder
Alder Stain,Roberts Residence,White Melamine,Select Alder
Oak Natural,Roberts Residence,White Melamine,Rift White Oak
Oak Stain,Roberts Residence,White Melamine,Rift White Oak
SB 1,Starbucks,White Melamine,Absolute Acajou
SB 2,Starbucks,White Melamine,Aimto Savatre
GO 1,Grocery Outlet,White Melamine,PG Maple
CF 1,Code Fellows,White Melamine,Kona Blend
CF 2,Code Fellows,White Melamine,Cappucino Maple Timber
Spec 1,Tableau,White Melamine,PG Maple
Spec 2,Tableau,White Melamine,PG Maple
Spec 1,Meyer Moulding,Maple Melamine,Select Walnut
Walnut,Santa Cruz Lumber,Black Melamine,Select Walnut
Alder,Old Mill Kitchen,Black Melamine,Knotty Alder
Cherry,Old Mill Kitchen,Black Melamine,Rustic Cherry
Spec 1,Ipad Monkey's,Prefinished Maple,Exquisite Elm
Spec 2,Ipad Monkey's,Prefinished Maple,Kona Blend
Spec 3,Ipad Monkey's,Prefinished Maple,Absolute Acajou
Spec 1,Country Store,White Melamine,Knotty Alder
FH 1,Farm House,Maple Melamine,PG Maple
FH 2,Farm House,Maple Melamine,Rustic Cherry
Standard,Jail House,Black Melamine,PG Maple
